ObjectID,TRPDClassification,Park,City,TrailSurface,Width_ft,Summer_Type,Winter_Type,Plowed,Name_OfficialSummer_Primary,Shape_Length
7,Park Trail,Murphy-Hanrehan,Savage,Mowed,14.0,"Unpaved Hike, Dog (On-Leash)",,,,83.8494791918864
8,Park Trail,Murphy-Hanrehan,Savage,Mowed,14.0,"Unpaved Hike, Dog (On-Leash)",Cross-country Skate/Classic,,,249.935571147141
15,Park Trail,Elm Creek,Dayton,Snow Only,12.0,,Snowmobile,,,173.622913550287
16,Park Trail,Carver,Laketown Twp.,Mowed,12.0,"Unpaved Hike, Horse, Dog (On-Leash)",Cross-country Skate/Classic,,,133.968553038548
18,Park Trail,French,Plymouth,Mowed,12.0,,Cross-country Skate/Classic,,,16.9098157267434
19,Park Trail,French,Plymouth,Mowed,12.0,,"Cross-country Skate/Classic, Lit",,Lakeview Trail,78.2123242442358
23,Park Trail,French,Plymouth,Bridge,10.0,Boardwalk,,,,15.323740428425
24,Park Trail,Carver,Laketown Twp.,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)",,,,490.203150528568
25,Park Trail,Baker,Medina,Gravel,10.0,"Unpaved Hike, Dog (Off-Leash)",,,,101.171043798403
26,Park Trail,Baker,Medina,Gravel,10.0,"Unpaved Hike, Dog (Off-Leash)",,,,48.6360189259334
33,Park Trail,Crow-Hassan,Rogers,Mowed,12.0,"Unpaved Hike, Horse, Dog (On-Leash)","Hike, Snowshoe, Dog (On-Leash), Horse",,,456.649275336721
44,Park Trail,Carver,Laketown Twp.,Mowed,12.0,,Cross-country Skate/Classic,,,394.730944543879
45,Park Trail,Carver,Laketown Twp.,Mowed,12.0,,Cross-country Skate/Classic,,,151.845220989566
46,Park Trail,Carver,Laketown Twp.,Mowed,16.0,,"Hike, Snowshoe, Dog (On-Leash), Cross-country Skate/Classic",,,436.779142353203
53,Park Trail,Silverwood,St. Anthony,Concrete,6.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,,11.0578708897518
