ObjectID,Classification,Park,City,Surface_Type,Width_ft,Summer_Use,Winter_Use,Plowed,Trail_Name,Length_ft,city_population
7,PT,Murphy-Hanrehan,Savage,Mowed,14.0,"Unpaved Hike, Dog (On-Leash)",,False,,275.1,33138.0
8,PT,Murphy-Hanrehan,Savage,Mowed,14.0,"Unpaved Hike, Dog (On-Leash)",Cross-country Skate/Classic,False,,820.0,33138.0
15,PT,Elm Creek,Dayton,Snow Only,12.0,,Snowmobile,False,,569.63,11065.0
16,PT,Carver,Laketown Twp.,Mowed,12.0,"Unpaved Hike, Horse, Dog (On-Leash)",Cross-country Skate/Classic,False,,439.53,
18,PT,French,Plymouth,Mowed,12.0,,Cross-country Skate/Classic,False,,55.48,76546.0
19,PT,French,Plymouth,Mowed,12.0,,"Cross-country Skate/Classic, Lit",False,Lakeview Trail,256.6,76546.0
23,PT,French,Plymouth,Bridge,10.0,Boardwalk,,False,,50.27,76546.0
24,PT,Carver,Laketown Twp.,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)",,False,,1608.28,
25,PT,Baker,Medina,Gravel,10.0,"Unpaved Hike, Dog (Off-Leash)",,False,,331.93,7102.0
26,PT,Baker,Medina,Gravel,10.0,"Unpaved Hike, Dog (Off-Leash)",,False,,159.57,7102.0
33,PT,Crow-Hassan,Rogers,Mowed,12.0,"Unpaved Hike, Horse, Dog (On-Leash)","Hike, Snowshoe, Dog (On-Leash), Horse",False,,1498.19,13714.0
44,PT,Carver,Laketown Twp.,Mowed,12.0,,Cross-country Skate/Classic,False,,1295.05,
45,PT,Carver,Laketown Twp.,Mowed,12.0,,Cross-country Skate/Classic,False,,498.18,
46,PT,Carver,Laketown Twp.,Mowed,16.0,,"Hike, Snowshoe, Dog (On-Leash), Cross-country Skate/Classic",False,,1433.0,
53,PT,Silverwood,St. Anthony,Concrete,6.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,36.28,10217.0
53,PT,Silverwood,St. Anthony,Concrete,6.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,36.28,92.0
54,PT,Silverwood,St. Anthony,Bituminous,6.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,117.83,10217.0
54,PT,Silverwood,St. Anthony,Bituminous,6.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,117.83,92.0
