city,pop2024
Minneapolis,423250
St. Paul,301380
Rochester,122692
Duluth,87999
Bloomington,86580
Woodbury,80891
Lakeville,78314
Brooklyn Park,80619
Blaine,74876
Plymouth,76546
St. Cloud,71485
Maple Grove,71618
Eagan,66948
Burnsville,64857
Coon Rapids,63306
Eden Prairie,61496
Apple Valley,55024
Edina,53342
Minnetonka,51923
St. Louis Park,49587
Shakopee,48190
Mankato,46130
Moorhead,45422
Cottage Grove,43078
Maplewood,39270
Inver Grove Heights,36210
Richfield,36284
Roseville,35196
Andover,33233
Savage,33138
Fridley,30349
Brooklyn Center,31032
Chaska,29419
Ramsey,28808
Rosemount,28191
Prior Lake,28160
Elk River,27809
Oakdale,28212
Owatonna,26572
Austin,26160
Winona,26045
Shoreview,26192
Chanhassen,25922
Otsego,24263
Faribault,24707
Farmington,23993
Lino Lakes,22676
St. Michael,21949
Columbia Heights,22389
West St. Paul,22110
White Bear Lake,22889
Champlin,22523
Hastings,22109
Willmar,21436
New Brighton,21816
Northfield,21098
Crystal,21459
Forest Lake,20679
South St. Paul,20648
Golden Valley,20789
Sartell,19843
New Hope,20303
Stillwater,19184
Hopkins,18449
Albert Lea,18193
Anoka,18022
Hugo,16732
Red Wing,16818
Ham Lake,16799
Buffalo,16626
Bemidji,15851
Hibbing,15914
Lake Elmo,14557
Alexandria,15130
Monticello,14948
Hutchinson,14730
Brainerd,14614
Fergus Falls,14245
Waconia,13976
North Mankato,14020
Marshall,13924
Rogers,13714
New Ulm,13857
Sauk Rapids,13735
Robbinsdale,13764
Worthington,13522
Big Lake,12890
North St. Paul,12650
Cloquet,12569
East Bethel,12320
Mounds View,12613
North Branch,12117
St. Peter,12361
Vadnais Heights,12524
Victoria,11768
Dayton,11065
Mendota Heights,11500
Grand Rapids,11332
Cambridge,10784
St. Anthony,10217
Hermantown,10196
Fairmont,10171
Little Canada,10136
Detroit Lakes,9969
Baxter,9243
Oak Grove,9275
Waseca,9219
Arden Hills,9311
Minnetrista,8946
Little Falls,9088
Albertville,8734
Thief River Falls,8816
East Grand Forks,8858
Corcoran,8203
St. Francis,8531
Mound,8737
Waite Park,8412
New Prague,8267
Virginia,8252
Mahtomedi,8197
Wyoming,8142
Orono,8055
Isanti,7532
Delano,7353
Belle Plaine,7432
Carver,7005
Shorewood,7440
Kasson,7206
Medina,7102
Crookston,7204
Byron,6961
Zimmerman,6934
Stewartville,6977
Spring Lake Park,7004
Jordan,6780
St. Joseph,6694
Litchfield,6511
Newport,5781
Chisago City,5736
Glencoe,5652
Credit River,5600
Princeton,5413
International Falls,5540
Lake City,5335
La Crescent,5279
St. Paul Park,5313
Elko New Market,5123
Becker,5130
Morris,5153
Montevideo,5179
North Oaks,5126
Lonsdale,5013
Lindstrom,5043
Redwood Falls,5044
Luverne,4913
Rockford,4811
Dilworth,4826
Watertown,4827
Circle Pines,4884
Windom,4793
Falcon Heights,4853
Sauk Centre,4626
St. James,4669
Chisholm,4662
Oak Park Heights,4623
Nowthen,4514
Park Rapids,4347
Columbus,4296
Wadena,4327
Cold Spring,4288
Hanover,4117
Le Sueur,4226
Rice Lake,4180
Cannon Falls,4196
Wayzata,4237
Zumbrota,4096
Pine City,3898
Goodview,4077
St. Charles,4041
Pipestone,4068
Montrose,3944
Centerville,3934
Pine Island,3905
Scandia,3929
Grant,3921
Mora,3824
St. Augusta,3734
Norwood Young America,3792
Perham,3716
Long Prairie,3721
Montgomery,3590
Deephaven,3689
Bayport,3707
Melrose,3612
Lexington,3326
Independence,3608
Plainview,3540
Sleepy Eye,3494
Annandale,3450
Two Harbors,3497
Rush City,3382
Benson,3425
Eveleth,3416
Breckenridge,3300
Jackson,3256
Eagle Lake,3238
Ely,3211
Blue Earth,3160
Moose Lake,3077
Milaca,3066
Proctor,3077
Staples,3042
Chatfield,2990
