ObjectID,TRPDClassification,Park,City,County,TrailSurface,Width_ft,DataGrade,DataSource,GlobalID,created_date,last_edited_date,MapWebWinter,MapWebSummer,Summer_Type,Winter_Type,Plowed,Name_OfficialSummer_Primary,Name_OfficialWinter_Primary,Shape_Length
7,Park Trail,Murphy-Hanrehan,Savage,Scott,Mowed,14,Intermediate Mapping,GPS Collection,{5DEDA6FD-1346-4793-801A-19A68B6E55E1},,2024/08/16 17:34:27+00,NO,YES,"Unpaved Hike, Dog (On-Leash)",,,,,83.8494791918864
8,Park Trail,Murphy-Hanrehan,Savage,Scott,Mowed,14,Intermediate Mapping,GPS Collection,{99295DD1-A5CC-406D-B862-41FF3034F8CD},,2024/08/16 17:34:27+00,YES,YES,"Unpaved Hike, Dog (On-Leash)",Cross-country Skate/Classic,,,,249.935571147141
15,Park Trail,Elm Creek,Dayton,Hennepin,Snow Only,12,Low Mapping,GPS Collection,{E46DA32E-D46D-48F0-A6A0-1C853376EF33},,2024/08/16 17:34:42+00,YES,NO,,Snowmobile,,,,173.622913550287
16,Park Trail,Carver,Laketown Twp.,Carver,Mowed,12,Low Mapping,GPS Collection,{B978AC25-5E47-4816-954E-EF6FD57DCFBD},,2024/08/16 17:34:27+00,YES,YES,"Unpaved Hike, Horse, Dog (On-Leash)",Cross-country Skate/Classic,,,King Trail,133.968553038548
18,Park Trail,French,Plymouth,Hennepin,Mowed,12,Low Mapping,GPS Collection,{EB03FFAD-AB16-40FE-9AA3-A8CCECE05CAC},,2024/08/16 17:34:42+00,YES,NO,,Cross-country Skate/Classic,,,,16.9098157267434
19,Park Trail,French,Plymouth,Hennepin,Mowed,12,Low Mapping,GPS Collection,{48E2596B-F08A-46FD-9433-FF51EA5A82D2},,2024/08/16 17:34:42+00,YES,NO,,"Cross-country Skate/Classic, Lit",,Lakeview Trail,Lakeview Trail,78.2123242442358
23,Park Trail,French,Plymouth,Hennepin,Bridge,10,Low Mapping,GPS Collection,{435DA660-568B-4D39-AEEE-239D7E47F04C},,2024/08/16 17:34:53+00,NO,YES,Boardwalk,,,,,15.323740428425
24,Park Trail,Carver,Laketown Twp.,Carver,Bituminous,10,Low Mapping,GPS Collection,{FDE3DC2F-36C8-467D-8488-CF6FE5D634F1},,2024/08/16 17:34:27+00,NO,YES,"Paved Hike, Bike, Dog (On-Leash)",,,,,490.203150528568
25,Park Trail,Baker,Medina,Hennepin,Gravel,10,Low Mapping,GPS Collection,{AF78DF52-7545-42D7-AEDA-2579C1B46B7C},,2024/08/16 17:34:27+00,NO,YES,"Unpaved Hike, Dog (Off-Leash)",,,,,101.171043798403
26,Park Trail,Baker,Medina,Hennepin,Gravel,10,Low Mapping,GPS Collection,{86A802EA-957A-41F9-8B3D-A6282098258D},,2024/08/16 17:34:27+00,NO,YES,"Unpaved Hike, Dog (Off-Leash)",,,,,48.6360189259334
33,Park Trail,Crow-Hassan,Rogers,Hennepin,Mowed,12,Low Mapping,GPS Collection,{42986495-11B9-49C3-B348-8781952B0397},,2024/08/16 17:34:27+00,YES,YES,"Unpaved Hike, Horse, Dog (On-Leash)","Hike, Snowshoe, Dog (On-Leash), Horse",,,,456.649275336721
44,Park Trail,Carver,Laketown Twp.,Carver,Mowed,12,Low Mapping,GPS Collection,{A9A5401D-589C-4EBA-93C8-122AFDDDAA9A},,2024/08/16 17:34:42+00,YES,NO,,Cross-country Skate/Classic,,,King Trail,394.730944543879
45,Park Trail,Carver,Laketown Twp.,Carver,Mowed,12,Low Mapping,GPS Collection,{577D3243-8B27-40C1-9D41-2ACCE302C77E},,2024/08/16 17:34:42+00,YES,NO,,Cross-country Skate/Classic,,,,151.845220989566
46,Park Trail,Carver,Laketown Twp.,Carver,Mowed,16,Low Mapping,GPS Collection,{3367C1AD-5C24-4FD3-B608-43FDBEEB1931},,2024/08/16 17:34:42+00,YES,NO,,"Hike, Snowshoe, Dog (On-Leash), Cross-country Skate/Classic",,,Nature Center Trail,436.779142353203
53,Park Trail,Silverwood,St. Anthony,Ramsey,Concrete,6,Low Mapping,GPS Collection,{2A58380E-8AFF-415C-90EB-C8C4F83E3C2C},,2024/08/16 17:34:27+00,YES,YES,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,,,11.0578708897518
54,Park Trail,Silverwood,St. Anthony,Ramsey,Bituminous,6,Low Mapping,GPS Collection,{1C3728E0-DB63-48BB-B542-BF67413AC3FA},,2024/08/16 17:34:27+00,YES,YES,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,,,35.9154567775266
56,Park Trail,French,Plymouth,Hennepin,Bridge,10,Low Mapping,GPS Collection,{570DDF48-FA19-42AE-8D62-8A13225DEEDE},,2024/08/16 17:34:53+00,NO,YES,Boardwalk,,,,,24.0900524487007
57,Park Trail,French,Plymouth,Hennepin,Bridge,6,Low Mapping,GPS Collection,{46BAE1D1-F046-4BBF-9C8E-85D8199AD406},,2024/08/16 17:34:53+00,NO,YES,Boardwalk,,,,,19.2166465913566
60,Park Trail,Fish,Maple Grove,Hennepin,Bituminous,10,Low Mapping,GPS Collection,{DB195E56-63D0-498A-A5BF-76D1CCFE2C8B},,2024/08/16 17:34:27+00,NO,YES,"Paved Hike, Bike, Dog (On-Leash)",,,,,185.864489997354
61,Park Trail,Carver,Victoria,Carver,Bituminous,10,Low Mapping,GPS Collection,{0564ADBE-DF6A-4C41-8866-8F14FB55FA6D},,2024/08/16 17:34:27+00,YES,YES,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,,,6.55454682388992
